name,type,address,phoneNumber
중랑구 발달장애인평생교육센터,culture_education,서울특별시 중랑구 중화동 301-28 성민빌딩,02-935-2999
대한평생교육개발원,culture_education,세종특별자치시 보람동 712 시드니하트,정보 없음
세종인재평생교육진흥원,culture_education,세종특별자치시 어진동 593,정보 없음
세종특별자치시교육청 평생교육학습관,culture_education,세종특별자치시 조치원읍 침산리 67 세종특별자치시교육청 평생교육학습관,정보 없음
울산인재평생교육진흥원,culture_education,울산광역시 남구 달동 1304-10,052-257-7600
이음줄평생교육협동조함,culture_education,울산광역시 동구 방어동 74-12 영보메르빌,02-351-3798
울산북구발달장애인평생교육센터,culture_education,울산광역시 북구 연암동 401-3 신화프라자,052-293-5015
울산광역시발달장애인평생교육센터,culture_education,울산광역시 중구 서동 612-7,052-293-5015
경인교육대학교 인천캠퍼스 평생교육원,culture_education,인천광역시 계양구 계산동 857-87 경인교육대학교,032-540-1114
인천인재평생교육진흥원,culture_education,인천광역시 남동구 구월동 1127 한국씨티은행,032-722-7200
국제이해교육센터 평생교육원,culture_education,인천광역시 미추홀구 도화동 429-1 롯데오피스텔,정보 없음
국제평생교육원 건설기초안전보건교육,culture_education,인천광역시 미추홀구 주안동 136-1 경향프라자,051-204-8258
다사랑평생교육센터,culture_education,인천광역시 미추홀구 주안동 506-45,032-891-5671
SPCS평생교육원,culture_education,인천광역시 미추홀구 주안동 972-1 동산빌딩,정보 없음
인천광역시 북구도서관 평생교육정보센터,culture_education,인천광역시 부평구 부평동 880 북구도서관,정보 없음
연세YA평생교육학원,culture_education,인천광역시 서구 왕길동 659-5 뷰비스타운,02-2123-3580
발달장애인 평생교육센터,culture_education,인천광역시 서구 원창동 513 인천광역시 서구 발달장애인 평생교육센터,02-935-2999
국제평생교육협회 인천지부,culture_education,인천광역시 연수구 연수동 577 영남아파트,032-428-5400
국제평생교육개발원,culture_education,"인천광역시 중구 경동 237-2 림웨딩컨설팅,경동고시텔",정보 없음
광양평생교육개발원,culture_education,전라남도 광양시 중동 1403-13,061-795-0884
평생교육문화센터 광양교육원 한국수공예기능인협회,culture_education,전라남도 광양시 중동 1447-7,정보 없음
홈플러스 평생교육아카데미 광양점,culture_education,전라남도 광양시 중동 1811-1 홈플러스 광양점,061-760-8000
목포과학대학교 평생직업교육대학,culture_education,전라남도 목포시 상동 525,061-278-8651
전라남도서부권발달장애인평생교육지원센터,culture_education,전라남도 목포시 석현동 623-15,061-801-6033
한국평생교육직업전문학원,culture_education,전라남도 목포시 용해동 965-15,정보 없음
전남인재평생교육진흥원,culture_education,전라남도 무안군 삼향읍 남악리 2113 전남전문건설회관,061-285-9468
전남동부권발달장애인평생교육지원센터,culture_education,전라남도 순천시 야흥동 590-2,정보 없음
한국문화교육협회 평생교육원 중앙사회복지연구회,culture_education,전라남도 여수시 학동 77-10,정보 없음
해인교육신문평생교육원,culture_education,전라남도 영광군 영광읍 남천리 118-14,정보 없음
해인평생교육문화예술협회,culture_education,전라남도 영광군 영광읍 남천리 118-14,정보 없음
장성군평생교육센터,culture_education,전라남도 장성군 장성읍 기산리 388 장성군 평생교육센터 장성군립중앙도서관,정보 없음
평생교육진흥연구회 전라북도 군산교육원,culture_education,전라북도 군산시 나운동 522-2,070-7512-6259
평생교육진흥연구회,culture_education,전라북도 군산시 명산동 15-15 아이러브안경콘텍트,02-365-3935
국제바리스타평생교육학원,culture_education,전라북도 군산시 수송동 820-7 우정빌딩,063-468-9585
군산시장애인평생교육센터,culture_education,전라북도 군산시 월명동 21-4,063-464-8377
김제시장애인평생교육센터 전기차충전소,culture_education,전라북도 김제시 서암동 529-3,정보 없음
김제시장애인평생교육센터,culture_education,전라북도 김제시 서암동 529-3,정보 없음
아이갓에브리씽 김제시장애인평생교육센터점,culture_education,전라북도 김제시 서암동 529-3,정보 없음
한국평생교육 에이치 알 디 진흥협회,culture_education,전라북도 완주군 이서면 갈산리 663-3,031-858-1191
익산시장애인평생교육센터,culture_education,전라북도 익산시 마동 344-1,063-837-7300
전북대학교 평생교육원,culture_education,전라북도 전주시 완산구 경원동3가 14-6 전북대평생교육원,063-288-0022
전주교육대학교 평생교육관,culture_education,전라북도 전주시 완산구 동서학동 128 전주교육대학교,정보 없음
전라북도인재평생교육진흥원,culture_education,전라북도 전주시 완산구 서신동 773 유디치과,063-290-5114
평생교육스쿨 홈플러스전주완산점,culture_education,전라북도 전주시 완산구 중노송동 495-6 홈플러스,063-263-2080
한국평생교육평가원 전북본부,culture_education,전라북도 전주시 완산구 중화산동2가 596-10,정보 없음
핵심원격평생교육원,culture_education,전라북도 전주시 완산구 효자동1가 289-3 효자프라자,070-4610-2100
CU ATM 전주대평생교육원점,culture_education,전라북도 전주시 완산구 효자동2가 1309-7,정보 없음
CU 전주대평생교육원점,culture_education,전라북도 전주시 완산구 효자동2가 1309-7,정보 없음
전주현대옥 전주대평생교육원점,culture_education,전라북도 전주시 완산구 효자동2가 1312-1,063-222-2623
전라북도평생교육진흥원,culture_education,전라북도 전주시 완산구 효자동3가 1 전라북도청,063-288-0022
홈플러스 서귀포점 평생교육아카데미,culture_education,제주특별자치도 서귀포시 동홍동 1558 홈플러스서귀포점,064-731-8114
제주평생교육장학진흥원,culture_education,제주특별자치도 제주시 삼도이동 801-7,064-744-9852
영림언어평생교육지원연구소 연동지점,culture_education,제주특별자치도 제주시 연동 1371-4 한성빌딩,정보 없음
제주장애인평생교육센터,culture_education,제주특별자치도 제주시 영평동 2169-5 제주장애인평생교육센터,064-722-9525
건양대학교 평생교육센터,culture_education,충청남도 계룡시 신도안면 남선리 1265 계룡대학습관,정보 없음
한국평생교육학회,culture_education,충청남도 공주시 신관동 182 공주대학교,02-300-1338
국가장애인평생교육진흥센터,culture_education,충청남도 아산시 배방읍 장재리 1740 국립특수교육원,정보 없음
한국기술교육대학교 온라인평생교육원,culture_education,충청남도 천안시 동남구 병천면 가전리 307 한국기술교육대학교,정보 없음
한국수공예협회평생교육센터 동남구지부,culture_education,충청남도 천안시 동남구 원성동 572-10 한우빌리지,010-7151-3965
늘배움평생교육연구소,culture_education,충청남도 천안시 동남구 청수동 209 극동1차아파트,02-2208-0672
천안시장애인평생교육센터,culture_education,충청남도 천안시 서북구 두정동 1503 천안인적자원개발센터,041-555-6642
충청남도평생교육진흥원,culture_education,충청남도 홍성군 홍북읍 신경리 900 CDC 충남개발공사,041-629-2013
충청북도 평생교육진흥원,culture_education,충청북도 청주시 상당구 문화동 15 충북연구원,정보 없음
국제 평생교육개발연구지원센터,culture_education,충청북도 청주시 상당구 용암동 1677,정보 없음
대한교육,culture_education,충청북도 청주시 서원구 사직동 141-6,1644-4771
고려교육개발원,culture_education,충청북도 청주시 서원구 사직동 265-28,043-530-9114
청주교육대학교 평생교육원,culture_education,충청북도 청주시 서원구 수곡동 135-1 청주교육대학교,정보 없음
이마트24 충대평생교육원점,culture_education,충청북도 청주시 서원구 수곡동 92-13,010-5459-4564
디에떼 에스프레소 평생교육원점,culture_education,충청북도 청주시 서원구 수곡동 93-1,정보 없음
한국평생교육상담연구원,culture_education,충청북도 청주시 서원구 수곡동 96-21,02-584-6863
충북평생교육연합회,culture_education,충청북도 청주시 청원구 내덕동 557-5,정보 없음
홈플러스문화센터 청주점,culture_education,충청북도 청주시 흥덕구 가경동 1696 홈플러스 청주점,043-249-8003
충청대학교 평생직업교육 특성화대학,culture_education,충청북도 청주시 흥덕구 강내면 월곡리 301-3 충청대학,043-230-2114
청주시평생학습관,culture_education,충청북도 청주시 흥덕구 복대동 61-1 청주시평생학습관,정보 없음
